mouse_name,eid
SWC_AY_007,4691b0b4-029a-42ad-bfd8-21a608ba85b5
SWC_AY_008,59d1c570-576d-429b-aa3d-729b1ef71dfa
SWC_AY_008,e22cfba5-5b2f-4c2e-bf37-c11666a4705f
SWC_AY_008,d9308a5d-ea7d-46c0-9234-3295b0ed6cfe
SWC_AY_008,11fbe3e2-55d6-4294-aebd-51ff11efa4e8
SWC_AY_008,d6f84cd9-2803-435f-b18c-054426645483
SWC_AY_008,20b6d00e-98fb-40d5-81b4-2215b8b9be36
SWC_AY_008,a44ba81e-ddc3-4cd2-a03b-24f05c3f25df
SWC_AY_008,7a554974-a824-4993-9f36-2b42dd6cbacc
SWC_AY_008,9c490636-b444-4863-b9be-e15d56a8f65d
SWC_AY_008,7d4f02b6-8b06-4b0f-aa65-d770f7c5e690
SWC_AY_008,7db2bf93-3f6c-42f4-9de4-c3e10dfb7643
SWC_AY_008,a0c59fe2-c050-4270-b685-66febf301b73
SWC_AY_008,8386007f-5d0c-465f-aaee-be54c8b89bc9
SWC_AY_008,4b3e5d53-63d3-417a-8e4f-27b31d51a38c
SWC_AY_008,16104299-599a-470e-aea7-899d5a3f8a3c
SWC_AY_008,234e2264-3960-41ed-830c-fd61c9017e5a
SWC_AY_008,b1686b3a-00ce-4fe8-8d8c-fe9cb18d5cf0
SWC_AY_008,d00e96f2-393b-48c0-97f6-1c8abf5668a8
SWC_AY_008,6b4eefef-85e8-4f4c-a092-aba01cb7d0fc
SWC_AY_008,546c8243-f6cd-4df7-8038-3d9c999602de
SWC_AY_008,efdeed93-0c9a-4c19-9f59-a945c4075045
SWC_AY_008,b6b21e0b-d241-49dd-aa7b-9495cd6e1791
SWC_AY_008,6293e872-be13-4ea7-8444-9a79e23e1601
SWC_AY_008,43b070a5-d3e3-4e25-b238-b1e4df4c19be
SWC_AY_008,a4f0b258-976a-4378-b6a0-a70104aedf70
SWC_AY_008,b65398ff-a779-4fd3-b931-7864a0ed75fc
SWC_AY_008,1106540a-5641-46bc-b88e-a30afb447e61
SWC_AY_008,30e58816-09f7-4544-84fb-ab66b4d2a28a
