,eid,has_photometry
222,b7fb5a34-3bc6-42cc-a0e6-ddfde9115a5c,True
223,5dcf7f70-8dff-4e88-9c6f-8f602223c107,True
224,ef24aeef-b9a5-4fd6-a61a-2ad1ca3d340d,True
225,6a60a53b-1dc8-4236-9d1a-b3663ae9c427,True
226,1f1e7643-3901-40f0-977b-6f26afbca3c6,True
227,554c8618-786a-4cd0-a474-1e9872ac6e03,True
228,60358efe-980e-4162-8b91-c8933fc57179,True
229,8a30e617-59a8-46c3-b676-f6dc0df50635,True
230,0dc88f52-5eb9-41de-970b-18b68c61e16c,True
231,9a937315-fd37-4384-aa47-05ed776e912f,True
232,e6444ff3-8da3-4745-9447-190ae9dfcea1,True
233,31fabee0-26ca-4c76-acdb-77af3900aaad,True
234,922a8942-ce78-46d6-8325-651419859d7d,True
235,359e335c-c685-40de-b3ff-8b8e0b4dae16,True
236,80e1fffa-0293-45a3-b846-83a2ae4b2ee1,True
237,c71eea54-2402-47cb-aa0f-708acf0449d9,True
238,886af9f1-ead7-42a8-955b-b1d20b50bac6,True
239,a204eaa9-7840-4d72-857f-3089d3bf0402,True
240,685efe78-ad57-45a1-a05b-4aef74da0437,True
241,5a03c1f2-378d-4ee5-ad75-10a60a258455,True
242,47b00cd4-79bd-4ac8-a42f-2a8bd99fd10a,True
243,3a0ce07a-1b6b-4edb-ae1b-7d00beb98781,True
244,b65adfd2-d76e-4cb6-a173-1cb301917b87,True
245,087441bb-d69e-481c-a17d-d1aa6cf9e951,True
246,c910ae14-8f23-4974-b981-fda5e1da17d5,True
247,0b3342bd-cfac-48df-b353-c86752f994a2,True
248,287694fc-7ba0-417c-ae6e-86c298fdc257,True
249,631b1fa3-8b2a-4ca3-b19b-c7ba0a96bf1a,True
250,e0c2a3d9-250e-4706-944c-0932e83390d8,True
251,5bdbe101-615a-4d7c-85d1-61c825df7e80,True
252,a9e41f14-0890-49a3-8dff-b0f88771bc0f,True
253,5e30b7e0-121f-40c5-8531-47b2a2c03289,True
254,be8e188a-041b-4540-a2dc-62b951f38648,True
255,ceacd4de-448f-4c53-b87f-d1340f0671f9,True
256,20233624-8a28-4f4b-8964-d41125c91ef0,True
257,bb3b2494-056f-4c7a-b0ac-7af6b3db3998,True
258,cdff5da7-6620-4732-ab0c-8c25bc529db4,True
259,3377dbc9-4a13-49d2-ae2c-5db421c8ffae,True
260,5fd79017-cd20-47f6-bbf7-090de8990c85,True
261,30dae268-5ef3-4ffc-94ab-a0fafdc3a2b0,True
262,9bc2dae4-4bb9-48bd-ba88-38eb07910c51,True
263,09ade9f3-e9e6-41dc-8e93-1c85a3492650,True
264,835d18a9-6560-4ab7-89fa-0d1612b7e1e3,True
265,1fba6775-edf4-4358-a9cf-0c82626149f1,True
