,eid,pid,left_video,right_video
440,6c6b0d06-6039-4525-a74b-58cfaa1d3a60,6bd246d2-b2c2-4a88-ac44-1a3e0facbaee,True,True
441,0f77ca5d-73c2-45bd-aa4c-4c5ed275dbde,1ab86a7f-578b-4a46-9c9c-df3be97abcca,True,True
442,0f77ca5d-73c2-45bd-aa4c-4c5ed275dbde,eb7e9f3f-b79d-4cdd-bc24-b13a4008c1b5,True,True
443,ae8787b1-4229-4d56-b0c2-566b61a25b77,06cb2ee3-0fb8-4ace-acbe-19c716f3ca40,True,True
456,a7763417-e0d6-4f2a-aa55-e382fd9b5fb8,57c5856a-c7bd-4d0f-87c6-37005b1484aa,True,True
457,5285c561-80da-4563-8694-739da92e5dd0,bc2f8bde-9498-41d7-b9db-83bd05cd34ba,True,False
458,5285c561-80da-4563-8694-739da92e5dd0,f698f893-da01-49a1-ae4b-16f7e42e5ff5,True,False
465,dc21e80d-97d7-44ca-a729-a8e3f9b14305,176b4fe3-f570-4d9f-9e25-a5d218f75c8b,True,True
476,d2832a38-27f6-452d-91d6-af72d794136c,b25799a5-09e8-4656-9c1b-44bc9cbb5279,True,True
478,e9fc0a2d-c69d-44d1-9fa3-314782387cae,06d42449-d6ac-4c35-8f85-24ecfbc08bc1,True,False
480,821f1883-27f3-411d-afd3-fb8241bbc39a,88e1154c-bd92-446d-bd6d-550062666223,True,False
481,69a0e953-a643-4f0e-bb26-dc65af3ea7d7,5a5a2320-3b0d-485d-aba2-dc96357e00d8,True,True
484,58b1e920-cfc8-467e-b28b-7654a55d0977,1f555fc6-5067-428b-a284-da6fb0b6b3a0,True,True
526,e56541a5-a6d5-4750-b1fe-f6b5257bfe7c,920865d3-1581-4e81-bd63-ab2186024564,True,True
